Country;Decile 1;Decile 2;Decile 3;Decile 4;Decile 5;Decile 6;Decile 7;Decile 8;Decile 9
Bulgaria;12293,92593;16853,03704;21112,2963;25695,25926;30734,81481;35958,37037;42214,37037;52627,40741;70727,55556
Czechia;31398,69136;37348,02469;42141,86831;46745,27572;51641,15226;57511,16872;64997,2428;74580,76543;90356,87243
Denmark;46577,07777;57688,62529;66202,78083;74545,29458;82773,62137;91778,8531;101968,5939;115339,3087;137453,9984
Germany;41858,69873;55141,44272;65327,157;74845,96888;84608,76945;95659,83027;108818,9533;126565,0636;160476,2376
Estonia;25353,59223;32325,04854;39327,76699;46911,06796;54610,48544;62024,07767;71706,40777;85055,33981;108466,2136
Ireland;44685,29032;54054,45161;62993,29032;70819,22581;79434,58065;89254,83871;101473,0323;119065,8065;140504,7742
Greece;17636,22642;24132,64151;28632,83019;33076,60377;38106,22642;43621,88679;50200,75472;58463,39623;71482,26415
Spain;25049,50495;35862,54125;44352,80528;52528,05281;60889,27393;70313,20132;81422,27723;95601,81518;119634,1584
France;38837,80664;49388,60029;58080,80808;65720,92352;73490,47619;82179,36508;92255,55556;106858,7302;133957,5758
Italy;28575,31646;39438,44937;48212,65823;56353,63924;65750,15823;74899,20886;85926,10759;100730,538;125633,8608
Cyprus;36120,72539;43624,52504;51446,11399;58679,79275;66354,40415;74783,76511;84960,96718;97831,43351;125828,6701
Latvia;17944,89362;24947,65957;30971,70213;36966,38298;43195,95745;50355,31915;57862,12766;68677,02128;89401,48936
Lithuania;20779,67667;27148,49885;32800,23095;39509,00693;45713,16397;53324,94226;62211,54734;74662,35566;100732,5635
Luxembourg;53103,10263;65281,02625;77121,36038;89672,5537;103867,7804;117648,568;137371,4797;162989,8568;202954,4153
Hungary;19550,32431;22847,2807;26377,38617;29929,33417;34172,65401;38836,98163;43718,51831;50362,79699;58852,24199
Malta;34998,74552;43737,09677;52104,48029;59437,27599;66939,0681;75586,73835;87733,87097;102844,6237;131268,9964
Netherlands;44038,23529;54016,17647;62859,49198;70629,67914;79334,62567;88248,6631;98976,87166;113201,2032;138737,9679
Austria;43819,89026;57149,79424;67078,60082;75877,91495;83781,20713;93580,65844;104597,9424;121562,4143;149225,5144
Poland;24450,70671;31071,67256;36699,76443;41416,25442;46697,58539;52240,34158;58873,49823;67637,33804;83080,38869
Portugal;22610,31308;29510,31308;35313,25967;40607,91897;45745,85635;52099,44751;59016,39042;70499,44751;93520,62615
Romania;10783,65325;15803,77709;20080,49536;24399,93808;28839,00929;33941,73375;39837,70898;47479,6904;59295,85139
Slovenia;36190,41353;44322,55639;51192,29323;57193,04511;63872,55639;70124,06015;77560,15038;87296,2406;102298,1203
Slovakia;23667,89366;29453,16973;33592,22904;37284,45808;40934,35583;44908,79346;49372,39264;54362,78119;62993,66053
Finland;41921,94514;49604,86284;57299,25187;65400,87282;73100,99751;81202,61845;91807,85536;104216,9576;125923,5661
Sweden;36682,76434;46041,44144;54735,96491;63185,65671;71310,633;79769,59459;88952,14557;101595,8748;119548,1982
Iceland;48634,24361;59250,3075;66393,64481;72793,86889;79202,08861;86109,3457;95117,93191;107223,4013;127630,035
Norway;52597,5073;66474,26992;76754,22403;86166,76053;95094,25323;103528,0663;113966,8231;128452,889;153965,6654
